ID,weidu,jingdu,AADT
121-5555,33.66141,-84.35538,142000
121-5035,33.651486,-84.39376,15600
121-5230,33.661815,-84.373161,12400
121-5556,33.6497,-84.369,139000
121-5998,33.651638,-84.366823,22200
121-6312,33.65221,-84.379278,3640
121-6314,33.663581,-84.37585,3780
121-6316,33.666601,-84.355405,1460
121-6318,33.668015,-84.365472,2400
121-7256,33.649761,-84.357023,3220
121-8585,33.65756,-84.357477,60
121-8603,33.654518,-84.382437,50
121-r002,33.652143,-84.395908,7340
121-r137,33.650416,-84.367947,8040
121-r138,33.652721,-84.366057,7770
121-r737,33.653917,-84.366117,7740
121-r738,33.652309,-84.367986,6860
121-5223,33.69664,-84.349632,28700
121-5224,33.708591,-84.359023,7470
121-6194,33.6865,-84.360231,2890
121-6196,33.693161,-84.35929,6260
121-8437,33.698667,-84.361273,100
121-5468,33.70881,-84.40227,297000
121-5228,33.708382,-84.374522,6010
121-5420,33.698121,-84.399685,10500
121-5421,33.698154,-84.397095,17400
121-5422,33.699456,-84.391946,14800
121-5583,33.702647,-84.401914,5580
121-6182,33.705171,-84.388962,4330
121-8411,33.706065,-84.396589,300
121-8904,33.703917,-84.398892,5550
121-r010,33.698145,-84.40426,12600
121-r012,33.70039,-84.403591,24300
121-5419,33.69747,-84.42271,57100
121-5043,33.713769,-84.40792,16100
121-5419,33.69747,-84.42271,57100
121-5691,33.697539,-84.418325,14500
121-5693,33.71238,-84.418153,5250
121-6168,33.70898,-84.422577,1750
121-6174,33.69727,-84.413867,2030
121-8407,33.69962,-84.406086,30
121-8857,33.704148,-84.411722,1550
121-5229,33.74114,-84.34923,31500
121-0473,33.770146,-84.359298,19200
121-0479,33.768876,-84.353014,13200
121-5088,33.756668,-84.358521,1670
121-5953,33.771096,-84.359869,15000
121-6222,33.759268,-84.360553,6120
121-5068,33.794217,-84.502921,29300
121-5069,33.788225,-84.494855,29100
121-5270,33.780522,-84.509931,14800
121-5272,33.794797,-84.491637,9710
121-5566,33.76927,-84.515061,13400
121-5729,33.773399,-84.500168,3550
121-5730,33.789549,-84.493519,1190
121-6134,33.767979,-84.497066,3740
121-6262,33.772699,-84.507437,2160
121-6320,33.771407,-84.514231,2130
121-8511,33.793379,-84.489972,510
121-r115,33.766451,-84.495653,16600
121-r713,33.766502,-84.496022,20400
121-r717,33.789096,-84.491545,10000
121-r718,33.786473,-84.49413,11200
121-r720,33.799682,-84.488937,4980
121-r804,33.766418,-84.498398,39200
121-5562,33.754332,-84.483076,18600
121-6146,33.749951,-84.466698,1030
121-8369,33.746386,-84.461249,90
121-5218,33.732933,-84.413256,9950
121-5388,33.738504,-84.425828,15200
121-5390,33.738218,-84.415953,13900
121-5501,33.7435,-84.4243,162000
121-5503,33.7414,-84.4155,164000
121-5680,33.73398,-84.417725,3150
121-5682,33.740213,-84.417721,14900
121-5755,33.744298,-84.432322,11000
121-7245,33.73898,-84.423357,2770
121-8441,33.740712,-84.41899,1650
121-r214,33.744935,-84.42732,5300
121-r215,33.741282,-84.419172,6250
121-r216,33.741238,-84.416394,7430
121-r218,33.741148,-84.413031,9090
121-5380,33.719881,-84.486831,11900
121-5538,33.7064,-84.4975,132000
121-5704,33.691727,-84.491761,17100
121-5706,33.699095,-84.481983,8860
121-5707,33.703814,-84.466671,8420
121-6274,33.698285,-84.496961,3270
121-6276,33.703667,-84.487592,4200
121-6284,33.71078,-84.474622,1030
121-6302,33.694291,-84.492274,3900
121-8401,33.710479,-84.470078,1070
121-8545,33.695833,-84.497457,430
121-r107,33.691003,-84.499786,2820
121-r108,33.693327,-84.499839,12300
121-5416,33.698247,-84.468058,63900
121-5417,33.698877,-84.452353,22600
121-5698,33.70327,-84.457341,12600
121-8856,33.699763,-84.45119,5370
121-5415,33.69009,-84.493604,38000
121-5536,33.6735,-84.4985,125000
121-5697,33.69007,-84.489071,24900
121-6292,33.684209,-84.498703,6070
121-6300,33.679801,-84.49383,6290
121-6344,33.678061,-84.493329,2110
121-7250,33.670228,-84.495572,3700
121-8876,33.696713,-84.482951,1670
121-r105,33.687171,-84.499684,10200
121-r106,33.689357,-84.499766,4020
121-0139,33.714434,-84.380995,4700
121-0143,33.721734,-84.383857,5670
121-5226,33.716154,-84.377132,8590
121-5236,33.713725,-84.382795,7660
121-5238,33.720516,-84.386727,12700
121-6178,33.718,-84.3936,13300
121-6190,33.721962,-84.37349,1390
121-8425,33.713445,-84.383792,140
121-8429,33.715671,-84.379713,480
121-8431,33.714163,-84.372363,200
121-9412,33.68659,-84.4008,48600
121-9511,33.6858,-84.40277,69900
121-5041,33.69194,-84.408165,12800
121-5526,33.6829,-84.4106,138000
121-5527,33.6863,-84.4011,99400
121-5572,33.681173,-84.401919,21900
121-5574,33.681287,-84.40871,20700
121-5575,33.681346,-84.415245,24200
121-6176,33.695421,-84.411814,5800
121-r168,33.681741,-84.411,4600
121-r169,33.684674,-84.404516,1700
121-r604,33.689988,-84.401997,12100
121-r605,33.68869,-84.400441,3330
121-r767,33.682769,-84.411159,3660
121-r771,33.684922,-84.405937,2210
121-r774,33.689357,-84.401359,20100
121-0399,33.747483,-84.349844,13200
121-0403,33.739941,-84.354093,5600
121-0405,33.74162,-84.358198,7350
121-0407,33.745887,-84.358278,6660
121-5398,33.746552,-84.354938,10800
121-5511,33.7444,-84.3537,194000
121-8475,33.750231,-84.364759,410
121-r237,33.744897,-84.351256,8430
121-5227,33.732419,-84.349318,29800
121-5588,33.723131,-84.368464,7900
121-6192,33.717042,-84.35844,6560
121-6226,33.736491,-84.35869,1290
121-6228,33.733677,-84.36007,1860
121-6230,33.727331,-84.362337,6010
121-7249,33.733952,-84.35127,1270
121-8435,33.715867,-84.36734,390
121-0236,33.754219,-84.453809,730
121-5499,33.7517,-84.4583,150000
121-5560,33.750375,-84.457252,12400
121-5677,33.764061,-84.459831,3990
121-6144,33.75936,-84.450493,1650
121-8367,33.761147,-84.454695,230
121-r211,33.751327,-84.448469,5150
121-r807,33.756437,-84.467773,3630
121-r812,33.751743,-84.448152,5450
121-5542,33.774666,-84.496051,156000
121-5441,33.760977,-84.469639,17100
121-6136,33.763849,-84.477529,3920
121-6260,33.777807,-84.494976,2260
121-8515,33.766155,-84.47858,100
121-8517,33.776124,-84.479077,480
121-8521,33.779634,-84.494583,170
121-r117,33.784148,-84.494796,11600
121-r440,33.763214,-84.48976,13600
121-r803,33.761866,-84.487645,14100
121-r808,33.758438,-84.471529,5230
121-r809,33.758107,-84.470269,2790
121-0147,33.736754,-84.381169,3250
121-5240,33.725724,-84.391582,2760
121-5469,33.7301,-84.3924,312000
121-5582,33.73684,-84.39151,9050
121-5602,33.727229,-84.388012,7130
121-5603,33.74047,-84.387806,11800
121-5610,33.721225,-84.391942,13600
121-6186,33.72473,-84.378588,2100
121-6232,33.730384,-84.38549,1240
121-6236,33.7416,-84.3863,120
121-6242,33.731605,-84.382521,1100
121-7259,33.74225,-84.381537,670
121-8423,33.73358,-84.389421,770
121-8485,33.734204,-84.390335,880
121-r015,33.730315,-84.392081,2720
121-r017,33.734487,-84.391641,11600
121-r019,33.741017,-84.391378,26700
121-r020,33.742628,-84.391057,6270
121-r021,33.742215,-84.391641,650
121-r226,33.743321,-84.386458,38500
121-r228,33.743113,-84.383621,7060
121-5679,33.763433,-84.40839,5430
121-6208,33.7602,-84.412651,2050
121-5108,33.81137,-84.39213,44100
121-5486,33.8027,-84.40639,221000
121-9420,33.79762,-84.3941,23800
121-5018,33.79489,-84.407851,31100
121-5106,33.802472,-84.392896,42500
121-5485,33.7994,-84.3964,251700
121-5675,33.789112,-84.411919,20400
121-6084,33.792598,-84.40379,4230
121-6086,33.79617,-84.399499,9670
121-7240,33.79525,-84.399809,4130
121-8289,33.802013,-84.396059,3370
121-r047,33.802478,-84.405634,8790
121-r648,33.803774,-84.411065,23800
121-r649,33.803583,-84.409818,520
121-r782,33.804983,-84.38341,22500
121-5384,33.724436,-84.448417,9700
121-5709,33.714902,-84.433028,8810
121-6158,33.722508,-84.44103,1920
121-6160,33.723112,-84.427411,2390
121-8387,33.719935,-84.436463,540
121-5505,33.74291,-84.40256,168000
121-5242,33.730847,-84.393012,8520
121-5243,33.73529,-84.394618,2210
121-5244,33.742039,-84.394515,2740
121-5470,33.7413,-84.392,288000
121-5504,33.741,-84.409,182000
121-5506,33.745078,-84.397571,157000
121-5579,33.738216,-84.410768,11500
121-5581,33.736992,-84.400581,10600
121-6238,33.741972,-84.39766,9150
121-6244,33.73785,-84.401634,7210
121-8459,33.742251,-84.396969,240
121-8491,33.73629,-84.400849,260
121-8895,33.737743,-84.39265,1320
121-r221,33.741959,-84.404616,7240
121-r223,33.743746,-84.400819,9020
121-r224,33.745095,-84.396176,7410
121-r225,33.744855,-84.397331,39800
121-r616,33.734491,-84.392438,3560
121-r618,33.737311,-84.392386,13800
121-r619,33.743991,-84.391605,5420
121-r620,33.741546,-84.392184,28300
121-r822,33.742191,-84.405273,7020
121-r828,33.745629,-84.394617,34400
121-5508,33.74314,-84.37869,202000
121-0145,33.743861,-84.373371,4790
121-0153,33.741044,-84.368572,2010
121-0401,33.740889,-84.362974,2970
121-0510,33.743243,-84.36648,197000
121-5394,33.746927,-84.386591,14700
121-5396,33.746766,-84.372008,12900
121-5507,33.7439,-84.3872,92500
121-5509,33.7433,-84.3732,215000
121-5589,33.7374,-84.368192,18500
121-5590,33.74512,-84.368122,23300
121-5592,33.748562,-84.368916,21500
121-5604,33.745821,-84.387732,19300
121-6234,33.730235,-84.373081,3350
121-6240,33.741213,-84.37866,760
121-6328,33.742122,-84.379246,4030
121-7248,33.741861,-84.369767,900
121-7260,33.743003,-84.371649,1160
121-8481,33.729312,-84.373141,160
121-r232,33.743173,-84.377851,6860
121-r233,33.743096,-84.369901,9340
121-r235,33.743065,-84.364226,11000
121-r236,33.743083,-84.36098,6180
121-r823,33.743661,-84.37797,6350
121-r827,33.743733,-84.385763,41800
121-5463,33.67633,-84.39741,169000
121-0141,33.67545,-84.393447,3020
121-5465,33.6809,-84.3984,175000
121-6306,33.67505,-84.399379,3890
121-8405,33.677332,-84.415601,1620
121-8567,33.674813,-84.411726,160
121-r003,33.679111,-84.397834,6060
121-r167,33.679576,-84.411859,5520
121-r611,33.679662,-84.398647,11500
121-r768,33.679752,-84.412309,5140
121-5214,33.723158,-84.422146,22100
121-5216,33.727872,-84.416999,21100
121-5386,33.737452,-84.435604,16500
121-6162,33.729401,-84.420958,3510
121-6164,33.735769,-84.431394,5530
121-6198,33.734112,-84.42463,2220
121-8389,33.732014,-84.429987,270
121-8393,33.723667,-84.423051,90
121-5498,33.75879,-84.477,149000
121-5440,33.753359,-84.46744,13800
121-5540,33.756,-84.4944,132000
121-5541,33.7633,-84.4927,119000
121-6264,33.758711,-84.482913,3680
121-8523,33.7592,-84.5007,910
121-r113,33.759427,-84.49277,13200
121-r204,33.760794,-84.487689,26400
121-r207,33.757682,-84.471192,4520
121-r208,33.757039,-84.469628,4650
121-r438,33.763578,-84.491574,20100
121-r538,33.76523,-84.495077,17200
121-r711,33.755294,-84.495364,7580
121-r715,33.763597,-84.493377,14200
121-r716,33.759999,-84.493263,9730
121-5231,33.746129,-84.349206,43200
121-5233,33.751664,-84.349197,39200
121-5235,33.75927,-84.349176,40600
121-5676,33.803765,-84.413979,36700
121-6070,33.814113,-84.426874,8340
121-6072,33.8214,-84.429265,4630
121-6076,33.811345,-84.43147,9860
121-8285,33.802346,-84.417227,220
121-8838,33.808698,-84.431822,1130
121-r651,33.806359,-84.415569,15300
121-0131,33.806714,-84.434504,12700
121-5062,33.794468,-84.431737,15700
121-5063,33.814872,-84.441603,24900
121-5276,33.81521,-84.466801,16100
121-5445,33.81632,-84.478939,16100
121-6080,33.79783,-84.427024,8940
121-6082,33.788612,-84.417488,9090
121-8277,33.814761,-84.456205,220
121-8279,33.806362,-84.449725,30
121-8283,33.787774,-84.415801,10
121-8349,33.810984,-84.469638,110
121-8609,33.787788,-84.423836,530
121-8842,33.80541,-84.446237,3210
121-8843,33.816685,-84.459866,4310
121-R666,33.825987,-84.360666,43700
121-5427,33.816956,-84.366816,41300
121-5428,33.820637,-84.36375,15300
121-5429,33.832732,-84.368028,40700
121-5430,33.821051,-84.368761,6570
121-5990,33.821171,-84.366302,8080
121-8315,33.817708,-84.384929,5520
121-8319,33.841734,-84.362952,210
121-r664,33.8242,-84.3601,10700
121-R666,33.825987,-84.360666,43700
121-r667,33.829067,-84.360679,13200
121-5110,33.82587,-84.38729,36700
121-5423,33.822361,-84.377094,13300
121-5650,33.844124,-84.393423,18200
121-6090,33.83855,-84.374329,9570
121-7257,33.837017,-84.374438,13900
121-8309,33.838648,-84.39173,630
121-0241,33.753884,-84.40374,2520
121-5047,33.743456,-84.408235,13100
121-5220,33.743057,-84.408846,5030
121-5221,33.743842,-84.40913,9770
121-6140,33.7547,-84.406881,9040
121-6150,33.745054,-84.414136,5730
121-6212,33.749324,-84.413428,4310
121-6214,33.749094,-84.405999,4280
121-8467,33.75187,-84.411315,1160
121-r815,33.741677,-84.415957,7320
121-r817,33.741647,-84.412794,9350
121-0456,33.87719,-84.36443,166000
121-5114,33.86529,-84.38077,28600
121-0351,33.864628,-84.371573,11300
121-0456,33.87719,-84.36443,166000
121-5354,33.857018,-84.349308,35700
121-5640,33.86939,-84.358545,11700
121-6248,33.87303,-84.365678,3120
121-6250,33.87783,-84.381754,8810
121-8497,33.876752,-84.354658,1110
121-8499,33.866236,-84.376732,1520
121-8868,33.8679,-84.362882,550
121-8869,33.868904,-84.368033,630
121-r070,33.854275,-84.369445,20500
121-r669,33.854384,-84.370166,21000
121-R066,33.825811,-84.359331,45000
121-0449,33.8241,-84.3593,99000
121-0454,33.8418,-84.3605,148000
121-5163,33.82498,-84.352496,43500
121-5533,33.82573,-84.349389,24500
121-5587,33.824774,-84.358117,44700
121-5639,33.849032,-84.354319,19700
121-6324,33.847233,-84.355367,6360
121-7241,33.851273,-84.352793,320
121-8321,33.845679,-84.354606,60
121-r064,33.8241,-84.3583,9730
121-R066,33.825811,-84.359331,45000
121-r068,33.828382,-84.36003,16500
121-r783,33.822656,-84.35815,1010
121-r785,33.823523,-84.355033,13800
121-r787,33.824568,-84.350945,12300
121-0135,33.714138,-84.45373,4220
121-5212,33.706338,-84.428019,15600
121-5708,33.709397,-84.4499,9410
121-6156,33.718338,-84.447324,1350
121-8381,33.714393,-84.451993,430
121-8383,33.721107,-84.442657,50
121-5969,33.80709,-84.37974,246000
121-5101,33.789461,-84.387787,25300
121-5102,33.792967,-84.389156,19500
121-5104,33.796971,-84.388369,32500
121-5158,33.792118,-84.373828,23400
121-5484,33.7951,-84.3916,172600
121-5528,33.800291,-84.389051,34900
121-5626,33.791269,-84.385603,24000
121-5638,33.786487,-84.380797,17800
121-5967,33.7932,-84.392,200000
121-6102,33.79674,-84.38167,6420
121-6114,33.781786,-84.37822,14700
121-7242,33.797175,-84.377026,5720
121-8327,33.802782,-84.381344,280
121-8331,33.794783,-84.388815,460
121-r042,33.79257,-84.390602,17000
121-r181,33.808065,-84.378327,21700
121-r642,33.793286,-84.391416,6250
121-5016,33.7837,-84.4075,28400
121-5633,33.7862,-84.40443,15100
121-9178,33.79648,-84.39422,27400
121-9645,33.79683,-84.39516,35500
121-0262,33.791113,-84.393487,30000
121-5636,33.781517,-84.40093,14000
121-r643,33.793137,-84.39355,6710
121-r777,33.795172,-84.393735,20300
121-5100,33.78315,-84.38921,16200
121-5103,33.78407,-84.387828,15700
121-5154,33.779888,-84.382618,16100
121-5156,33.779614,-84.381064,11200
121-5483,33.7864,-84.3908,373200
121-5625,33.783873,-84.383405,19400
121-5635,33.78666,-84.38561,17300
121-5086,33.773334,-84.364752,38100
121-5007,33.757783,-84.391534,12700
121-5009,33.764453,-84.391361,7320
121-5092,33.75449,-84.38988,11200
121-5109,33.761321,-84.389037,10300
121-5613,33.762819,-84.396962,14300
121-5628,33.76154,-84.387552,17300
121-6216,33.760985,-84.38851,4900
121-7265,33.76279,-84.390545,7950
121-5012,33.7713,-84.393153,18600
121-5056,33.774673,-84.408089,27900
121-5611,33.773331,-84.403856,15000
121-5631,33.765139,-84.396131,5500
121-6202,33.774381,-84.403674,6990
