ID,weidu,jingdu,AADT
001-0183,31.83156,-82.08647,940
001-0185,31.60285,-82.30816,480
003-0132,31.30711,-82.90154,4600
003-0138,31.2958,-82.8398,4390
005-0125,31.60861,-82.46186,5140
009-0156,33.08699,-83.17217,9190
011-0103,34.27933,-83.4653,12700
013-0036,33.97749,-83.6533,8300
015-0118,34.20436,-84.810519,44900
015-0178,34.21485,-84.79415,10800
015-0276,34.21871,-84.75224,75200
017-0143,31.72893,-83.24716,3470
021-0116,32.80632,-83.84093,4310
021-0132,32.81597,-83.70278,20800
021-0158,32.73613,-83.65566,27600
021-0198,32.8205,-83.6917,34900
021-0258,32.69355,-83.63823,23700
021-0267,32.79953,-83.66481,16200
021-0334,32.78194,-83.67807,37500
021-0349,32.846374,-83.642365,78300
021-0356,32.89239,-83.67796,64900
021-0365,32.851669,-83.631436,87300
021-0372,32.827774,-83.603045,48000
021-0376,32.77391,-83.55789,25400
021-0378,32.79937,-83.72124,60700
021-0541,32.82615,-83.67174,19400
021-0587,32.82013,-83.67179,8620
021-0589,32.82,-83.6531,4410
021-w334,32.77959,-83.68055,11300
023-0152,32.41343,-83.35674,2950
025-0163,31.22764,-81.80863,8460
029-0103,31.91226,-81.35294,25200
029-0178,31.95717,-81.32379,14900
029-0189,32.19947,-81.48454,29100
031-0187,32.3714,-81.84857,16000
033-0271,33.0754,-82.0165,800
035-0127,33.22593,-84.07545,76200
039-0145,30.78498,-81.63993,23400
039-0218,30.75257,-81.65076,66200
039-0228,31.06434,-81.63065,52700
043-0163,32.37269,-82.031,22800
047-0114,34.98511,-85.20087,97300
051-0107,32.11306,-81.13842,840
051-0109,32.22384,-81.19492,33400
051-0126,32.0982,-81.1435,6220
051-0129,32.09441,-81.13509,36500
051-0132,32.08096,-81.13169,34500
051-0137,32.06166,-81.13849,53400
051-0138,32.03324,-81.12763,56600
051-0318,32.0084,-81.291,6830
051-0334,32.02097,-81.11086,31400
051-0365,32.07981,-81.2689,45400
051-0368,32.06899,-81.19281,61700
051-0369,32.07277,-81.15187,64300
051-0376,32.07188,-81.10406,22000
051-0383,32.0963,-81.23688,84500
051-0387,32.2002,-81.18769,56100
051-0443,32.0586,-81.02247,21400
051-0509,32.01566,-81.11011,8540
051-0649,32.08181,-81.12215,3330
051-0825,32.012415,-81.07676,1750
051-9215,32.0627,-81.11103,8970
051-9816,32.06259,-81.11121,13400
057-0341,34.09025,-84.44287,3870
059-0014,33.96943,-83.42022,39100
059-0087,33.98101,-83.37761,19100
059-0118,33.96216,-83.39453,23200
059-0367,33.94201,-83.40852,11600
